city,stationID,stationName,aliases,translations,stationCode,longerStationCode,altCodes,priority
"Fredericksburg, VA",,Fredericksburg,,,FBG,,,0
"Fort Collins, CO",,Fort Collins,"Ft Collins,Ft. Collins,Collins",,FCC,,,0
"Fond du Lac, WI",,Fond du Lac,,,FDL,,,0
"Fort Edward-Glens Falls, NY",,Fort Edward,"Ft Edward,Ft. Edward,Edward,Glens Falls, Glenns Falls,Hudson Falls",,FED,,,0
"Fairfield-Vacaville, CA",,Fairfield,Vacaville,,FFV,,,0
"Flagstaff, AZ",,Greyhound Station,,,FGG,,,0
"Fort Hood, TX",,Fort Hood,"Ft Hood,Ft. Hood,Hood,Cavazos,Ft Cavazos,Ft. Cavazos",,FHD,,,0
"Fillmore, CA",,Fillmore,,,FIL,,,0
"Flagstaff, AZ",,Amtrak Station,,,FLG,,,0
"Flint, MI",,Flint,,,FLN,,,0
"Florence, SC",,Florence,,,FLO,,,0
"Fort Madison, IA",,Historic Santa Fe Station,"Ft Madison,Ft. Madison,Madison",,FMD,,,0
"Fort Morgan, CO",,Fort Morgan,"Ft Morgan,Ft. Morgan,Morgan",,FMG,,,0
"Fremont, CA",,Amtrak/ACE Station,,,FMT,,,0
"Fresno, CA",,Fresno,,,FNO,,,0
"Framingham, MA",,Framingham,,,FRA,,,0
"Frederick, MD",,Transit Center/MARC Station,,,FRC,,,0
"Freeport, ME",,Freeport,,,FRE,,,0
"Fairplay, CO",,Fairplay,,,FRP,,,0
"Frederick, MD",,Frederick Municipal Airport,,,FRR,,,0
"Fremont, CA",,VTA Transit Bus Stop,,,FRT,,,0
"Frostburg, MD",,Frostburg State University,,,FSB,,,0
"Fish Camp, CA",,Fish Camp,,,FSH,,,0
"Florence, OR",,Carl G. Washburne State Park,"Washburne State Park,Carl Washburne State Park",,FSP,,,0
"Fortuna, CA",,Fortuna,,,FTA,,,0
"Ticonderoga, NY",,Ticonderoga,,,FTC,,,0
"Fort Lauderdale, FL",,Fort Lauderdale,"Ft Lauderdale,Ft. Lauderdale,Lauderdale",,FTL,,,0
"North Fort Myers, FL",,Fort Myers,"Ft Myers,Ft. Myers,Myers",,FTM,,,0
"Fulton, KY",,Fulton,,,FTN,,,0
